-0.0064,-0.135,0.5041,0.0074,0.6697,1.0259
-0.0066,-0.1392,0.5199,0.0076,0.6907,1.058
-0.0068,-0.1435,0.5357,0.0078,0.7116,1.09
-0.007,-0.1477,0.5514,0.0081,0.7325,1.1221
-0.0072,-0.1519,0.5672,0.0083,0.7535,1.1542
-0.0074,-0.1561,0.583,0.0085,0.7744,1.1863
-0.0076,-0.1604,0.5987,0.0088,0.7954,1.2183
-0.0078,-0.1645,0.6142,0.009,0.8159,1.2498
-0.0079,-0.1684,0.6287,0.0092,0.8352,1.2794
-0.0081,-0.172,0.6422,0.0094,0.8532,1.3069
-0.0083,-0.1754,0.6548,0.0096,0.8699,1.3324
-0.0084,-0.1785,0.6664,0.0098,0.8852,1.356
-0.0085,-0.1813,0.6769,0.0099,0.8993,1.3775
-0.0087,-0.1839,0.6865,0.0101,0.9121,1.397
-0.0088,-0.1862,0.6952,0.0102,0.9235,1.4146
-0.0089,-0.1882,0.7028,0.0103,0.9337,1.4301
-0.009,-0.19,0.7095,0.0104,0.9425,1.4436
-0.009,-0.1915,0.7151,0.0105,0.95,1.4552
-0.0091,-0.1928,0.7198,0.0106,0.9563,1.4647
-0.0091,-0.1938,0.7235,0.0106,0.9612,1.4723
-0.0092,-0.1945,0.7262,0.0107,0.9648,1.4778
-0.0092,-0.195,0.728,0.0107,0.9671,1.4813
-0.0092,-0.1952,0.7287,0.0107,0.9681,1.4829
-0.0092,-0.1952,0.7288,0.0107,0.9681,1.4829
-0.0092,-0.1952,0.7288,0.0107,0.9681,1.4829
-0.009,-0.196,0.7294,0.0105,0.968,1.4839
-0.0084,-0.1984,0.7315,0.0101,0.9675,1.4869
-0.0074,-0.2025,0.7349,0.0093,0.9666,1.4919
-0.0059,-0.2082,0.7397,0.0082,0.9654,1.4989
-0.0041,-0.2155,0.7458,0.0068,0.9639,1.5079
-0.0019,-0.2244,0.7533,0.0051,0.962,1.5189
0.0008,-0.2349,0.7622,0.003,0.9598,1.5319
0.0039,-0.2471,0.7724,0.0007,0.9572,1.5469
0.0073,-0.2609,0.784,-0.002,0.9543,1.5639
0.0112,-0.2763,0.7969,-0.005,0.951,1.5829
0.0155,-0.2933,0.8113,-0.0082,0.9474,1.6039
0.0202,-0.3119,0.8269,-0.0118,0.9435,1.6269
0.0253,-0.3322,0.844,-0.0157,0.9392,1.6519
0.0306,-0.3533,0.8617,-0.0198,0.9348,1.678
0.0355,-0.3729,0.8782,-0.0236,0.9306,1.7022
0.04,-0.3909,0.8934,-0.0271,0.9268,1.7244
0.0442,-0.4073,0.9072,-0.0302,0.9234,1.7446
0.0479,-0.4221,0.9196,-0.0331,0.9202,1.7628
0.0512,-0.4352,0.9306,-0.0356,0.9175,1.779
0.0541,-0.4467,0.9403,-0.0378,0.915,1.7932
0.0566,-0.4566,0.9486,-0.0398,0.9129,1.8054
0.0586,-0.4649,0.9556,-0.0414,0.9112,1.8156
0.0603,-0.4715,0.9612,-0.0426,0.9098,1.8238
0.0616,-0.4766,0.9654,-0.0436,0.9087,1.83
0.0624,-0.48,0.9683,-0.0443,0.908,1.8342
0.0629,-0.4818,0.9698,-0.0446,0.9076,1.8364
0.063,-0.4821,0.97,-0.0447,0.9076,1.8368
0.063,-0.4821,0.97,-0.0447,0.9076,1.8368
0.0633,-0.4821,0.9701,-0.0449,0.9076,1.8378
0.0642,-0.4821,0.9702,-0.0457,0.9076,1.8408
0.0658,-0.4822,0.9705,-0.0471,0.9077,1.8458
0.068,-0.4822,0.9709,-0.0489,0.9078,1.8528
0.0708,-0.4823,0.9714,-0.0513,0.908,1.8618
0.0743,-0.4824,0.972,-0.0542,0.9082,1.8728
0.0784,-0.4826,0.9727,-0.0577,0.9084,1.8858
0.0831,-0.4827,0.9736,-0.0616,0.9086,1.9008
0.0885,-0.4829,0.9745,-0.0661,0.9089,1.9178
0.0945,-0.4831,0.9756,-0.0712,0.9092,1.9368
0.1011,-0.4833,0.9767,-0.0768,0.9096,1.9578
0.1084,-0.4835,0.978,-0.0829,0.91,1.9808
0.1163,-0.4838,0.9794,-0.0895,0.9104,2.0058
0.1248,-0.4841,0.9809,-0.0966,0.9108,2.0328
0.1339,-0.4844,0.9825,-0.1043,0.9113,2.0618
0.1437,-0.4847,0.9842,-0.1126,0.9118,2.0928
0.1541,-0.485,0.9861,-0.1213,0.9124,2.1256
0.1645,-0.4854,0.9879,-0.1301,0.9129,2.1588
0.175,-0.4857,0.9898,-0.1388,0.9135,2.1919
0.1855,-0.486,0.9916,-0.1476,0.914,2.2251
0.1959,-0.4864,0.9934,-0.1564,0.9146,2.2583
0.2064,-0.4867,0.9953,-0.1652,0.9151,2.2914
0.2168,-0.4871,0.9971,-0.174,0.9157,2.3246
0.2273,-0.4874,0.999,-0.1828,0.9162,2.3577
0.2378,-0.4877,1.0008,-0.1916,0.9168,2.3909
